id,name,link,ingredients,allergensraw,allergensmapped
1,Chilli and Coriander King Prawns,https://world.openfoodfacts.org/product/01804225,"King Prawn (86%) (King Prawn (Penaeus vannamei) (Crustacean), Salt), Chilli and Coriander Marinade (14%) (Vegetable Oil (Rapeseed Oil and/or Sunflower Oil), Water, Coriander, Red Bell Pepper, Red Chilli, Ginger, Lime Juice, Lemon Grass, Shallot, Cassava Starch, Salt, potato starch, garlic)",Crustaceans,shellfish
2,Red Bull Energy Drink,https://world.openfoodfacts.org/product/90162602,"Carbonated Water, Sugar, Glucose, Citric Acid, Taurine, Natural flavors, Artificial Flavors, Sodium Bicarbonate, Magnesium Carbonate, Artificial Colors, Caffeine, Niacinamide, Pyridoxine Hci, Calcium Pantothenate, Vitamin B12.",,
3,Tomato Ketchup BIO,https://world.openfoodfacts.org/product/8715700407760,"tomatoes (180 g per 100 g of ketchup), sugar, vinegar, salt, spices (contain celery), onion powder, garlic powder,",Celery,
4,PROPERCHIPS Sea Salt Lentil Chips,https://world.openfoodfacts.org/product/5060283762199,"Lentil flour (30%), potato starch, vegetable oils (sunflower, rapeseed), corn flour, salt.",,wheat
5,Weetabix produit à base de blé complet 100%,https://world.openfoodfacts.org/product/5010029000023,"Whole wheat (95%), malted barley extract, sugar, salt, niacin, iron, riboflavin (b2), thiamin (b1), folic acid.",Gluten,wheat
6,Custard powder,https://world.openfoodfacts.org/product/5000354908248,"maize starch, salt, flavouring, colour (annatto),",,
7,Heinz Baked Beans,https://world.openfoodfacts.org/product/5000157024886,"Beans (51%), Tomatoes (34%), Water, Sugar, spirit Vinegar, Modified Cornflour, Salt, Spice extracts, Herb Extract",,
8,Classic Yellow Mustard,https://world.openfoodfacts.org/product/0041500763675,"SPIRIT VINEGAR, WATER, MUSTARD SEED, SALT, TURMERIC, PAPRIKA, SPICE, FLAVOURING, GARLIC POWDER.",Mustard,
9,Wild Pacific Sardines in Extra Virgin Olive Oil Lightly Smoked,https://world.openfoodfacts.org/product/0829696000800,"Sardines (sardinops sagax or sardinops melanostictus), organic extra virgin olive oil, water, sea salt, aqueous natural smoke.",Fish,fish
10,"Lea & Perrins, The Original Worcestershire Sauce, Unwrap The Flavor",https://world.openfoodfacts.org/product/0051600000013,"Distilled white vinegar, molasses, sugar, water, salt, onions, anchovies, garlic, cloves, tamarind extract, natural flavorings, chili pepper extract.",Fish,fish
11,Almond No Sugars,https://world.openfoodfacts.org/product/4061459332896,"Water, Almond (2.3%), Minerals (Calcium Citrate), Sea Salt, Stabiliser: Gellan Gum, Vitamins (Riboflavin, Vitamin B12, Vitamin D, Vitamin E).",Nuts,tree nut
12,nut granola blueberry cinnamon sweet & crunchy,https://world.openfoodfacts.org/product/0819562022791,"sunflower seeds, pumpkin seeds, coconut, almonds, pecans, erythritol, butter (pasteurized cream, natural flavor), dried blueberries, cinnamon, salt, monk fruit extract","Milk, Nuts","milk, tree nut"
13,Oregano Crostini Italian Bread Bites,https://world.openfoodfacts.org/product/5060198640643,"flour, olive oil, salt, yeast, oregano, malted what flour",,wheat
